INC000002531206;Atrasou;00 01:36:12;7259MOD-SIAOI-BATCH;CTRLM-SIAOI-AOIAL222-MF-ABEND ORDER ID BB6NT;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 12:50:13
INC000002531216;Atrasou;00 01:18:02;7259MOD-SISRH-BATCH;CTRLM-SISRH-SRH01MZA-MF-ABEND ORDER ID BBLYM;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 13:33:55
INC000002531220;Atrasou;00 01:00:48;7259APL-SIATC;MAINVIEW-SNI  -BRPM-ADEADQUEP1S00 P2DF  FILA  BRPM.DEAD.QUEUE ACUMULADA  (12);03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 13:50:17
INC000002531223;Atrasou;00 01:17:58;7259FUN-BACKUP-MP;CTRLM-BKPMP-BKIORAPRD77_MANUT-MP-ABEND ORDER ID 0lajg;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 14:00:10
INC000002531231;Atrasou;00 01:05:24;7259MOD-SISRH-BATCH;CTRLM-SISRH-SRHPM01A-MF-ABEND ORDER ID BBLYN;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 14:04:17
INC000002531241;Atrasou;00 04:40:36;7259APL-SIORM;MAINVIEW-SIORM-BRP4-AORMQP1S00    AORMQP1S00 P4DF  FILA  CIPNPC.XMIT.QUEUE ACUMULADA  (1562) -;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 14:56:03
INC000002531298;Atrasou;00 01:50:51;7259APL-SIRIC;SINEIRO - PAINEL DE INDICADORES - SIRIC - OCORRÊNCIA: VOLUME DE PESQUISAS IGUAL A ZERO POR MAIS;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;8/1/2019 16:03:01
INC000002531303;Atrasou;00 01:25:35;7259APL-SISPL;MAINVIEW-SISPL-BRP6-ASPLMEN2AS00 P4DF  TEMPO  DE MSG  LQ.RSP.SIBAR.MANUTENCAO_COBRANCA_BANCARIA >;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 16:07:01
INC000002531377;Atrasou;00 00:47:53;7259SLB-BBRDEDADLX004;ZBXNPRD - SNI - bbrdedadlx004.extra.caixa.gov.br -;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;8/1/2019 18:48:15
INC000002531404;Atrasou;00 01:14:49;7259APL-SISPL;MAINVIEW-SISPL-BRP6-ASPLMEN2AS00 P4DF  TEMPO  DE MSG  LQ.RSP.SISPL.BUSCA_PARAMETROS >  600 SEG;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 20:29:58
INC000002531412;Atrasou;00 01:11:49;7259MOD-SIPES-BATCH;CTRLM-SIPES-PES01MZA-MF-ABEND ORDER ID BBS1L;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 21:01:34
INC000002531446;Atrasou;00 02:16:36;7259MOD-SIAPI-BATCH;CTRLM-SIAPI-API04MZG-MF-TEMPO EXCEDIDO ORDER ID BBK7A;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;8/1/2019 23:25:11
INC000002531536;Atrasou;00 01:15:37;7259APL-SILCE;MAINVIEW-SILCE-P6DF-ACEMQFILS00   ACEMQFILS00 P*******  FILA  LQ.LOG.SILCE.ECO_PREMIOS_ERRO;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;9/1/2019 04:00:10
INC000002531646;Atrasou;00 01:08:51;7259MOD-SEPRD-BATCH;CTRLM-SEPRD-END72MZF-MF-ABEND ORDER ID AY3I9;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;9/1/2019 09:03:08
INC000002531649;Atrasou;00 01:02:44;7259MOD-SIGFI-BATCH;CTRLM-SIGFI-GFI04MZR-MF-ABEND ORDER ID BBLER;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;9/1/2019 09:19:01
